names,research
"Mullen, Robert L","Dr. Mullen's research interests are in the areas of computer modeling of engineeringsystems, biomechanics, mechanical behavior of micro electro-mechanical systems,coupled field problems, and interval methods for treating uncertainty. | Computational Mechanics and Reliability"
"Mustain, William E","The overarching theme for all of the projects in the Mustain Laboratory for Electrocatalysts
                                 and Fuels (m∙leaf) is the design, characterization and implementation of electroactive
                                 materials in electrochemical systems.  We use a wide variety of electrochemical and
                                 physical characterization techniques to explore chemistry-property and structure-property
                                 relationships, which allow us to propose next generation materials with a high level
                                 of success.  In addition, these relationships help to advance the fundamental understanding
                                 of electrochemical processes and we use that knowledge to develop critical components
                                 of the 21st century energy portfolio - including batteries, fuel cells, electrolyzers,
                                 reactors for electrochemical synthesis, and systems for CO2 spearation and utilization. | Electrocatalysis|Batteries|Synthesis|Electrochemical Engineering"
"Naik, Himanshu",Information Technology Services
"Narayanan, Vignesh","Dynamical Systems and Networks - Modeling and data-integrated approaches for dynamical
                                    systems|Data Science and Learning Theory - Data analysis and dynamic learning|Computational Neuroscience - Modeling and stimulation of neural ensembles"
"Nasiri, Adel","Power electronics; Distributed generations; Microgrids; Grid interface; Resilient
                                 energy systems; Energy efficiency; Energy-water nexus; Energy storage systems; Interface
                                 and controls; Data intensive energy systems; Smart and connected energy systems."
"Nelakuditi, Srihari","Professor Nelakuditi's research interests are in the areas of mobile computing, wireless
                                    networking, and Internet routing. | Computer Networking|Wireless Networking|Mobile Computing"
"Nezhad, Cyrus Riahi","['300 Main Street Room A 113Columbia , SC , 29208Dr . Riahi Nezhad s broad areas of specialization are based on innovative combinations of fluid mechanics , separation science , and heterogeneous catalysis . These include 1 Separations enhanced by electric fields including electro mixing , drop electro coalescence with applications in biofuel production , radioactive waste treatment , and tannery waste water treatment , 2 High liquid flow in packed towers for optimal gas liquid phase interaction , 3 Synthesis and characterization of mesoporous heterogeneous catalysts for oxidative destruction of volatile organic compounds with applications in automotive exhaust emission control , 4 Application of nano catalysts for hydrogen production using water gas shift reaction , 5 Gas engine driven air conditioning GEDAC for heating and cooling , 6 Hydraulic and fluid mechanics utilizing experimental and numerical analyses with applications that include flow through a breached levee and during levee closure .']"
"Nguyen, Sarah","['research', 'computer', 'engineering']"
"Nicholson, Marjorie",Chemical Engineering
"O'Donnell, Misty ",Mechanical Engineering
"O'Reilly, Christian","Christian's main interests are related to better understanding the brain across spatial
                                    and temporal scales in order to address complex neurodevelopmental issues such as
                                    autism and other neurodevelopmental disorders. The methods he uses include analytical
                                    techniques (e.g., EEG source reconstruction, functional connectivity) and modeling
                                    (e.g., point neurons, morphologically-detailed neurons, neural masses), as well as
                                    the combination of these two approaches through Bayesian model-driven analyses. He
                                    is further interested in novel ways to empower the study of neuroscience through AI
                                    and to empower AI through biologically inspired neural networks. His full and up-to-date
                                    publication list can be found on his Google Scholar profile."
"O'Reilly, James",['James O Reilly teaches various undergraduate courses .']
"Ortiz-Hernandez, Ivelisse","Dr. Ortiz-Hernandez background involves the study of heterogeneous catalytic systems
                                 under reaction conditions. Her research interest involves the development and characterization
                                 of new catalytic materials with applications in environmental and alternate energy
                                 systems. She is also interested in the use of analytical instrumentation techniques
                                 for the characterization of materials and the study of chemical reactions. Her experience
                                 involves the teaching and developing of new curriculums in the area of chemical engineering
                                 and chemical technology."
"Pandher, Jaspreet (Jessie)",Mechanical Engineering
"Paschvoss, Nicholas",Engineering and Computing
"Patel, Chandrashekhar","Dr. Patel's research interests include molecular regulation of vascular endothelial
                                 and smooth muscle cells."
"Patterson, Ruth","['research', 'computer', 'engineering']"
"Paul, Titan C.","1. Paul, T. C.*, Tikadar, A., Mahamud, R., Salman, A. S., Morshed, AKM. M., Khan,
                                    J. A. “A Critical Review on the Development of Ionic Liquids-Based Nanofluids as Heat
                                    Transfer Fluids for Solar Thermal Energy” Processes 2021, 9, 858. https://doi.org/10.3390/pr9050858. 2. Main, K. L., Eberl, B. K., McDaniel, D., Tikadar, A., Paul, T.C.*, Khan, J. K.
                                    “Nanoparticles size effect on thermophysical properties of ionic liquids based nanofluids”
                                    Journal of Molecular Liquids 343 (2021) 117609. 3. Howe, M.L., Paul, T.C.*, Khan, J. A. “Radiative properties of Al2O3 nanoparticles
                                    enhanced ionic liquids (NEILs) for direct absorption solar collectors” Solar Energy
                                    Materials & Solar Cells 232 (2021) 1113274. Shahadat, M. B., Roni, R. H., Masnoon, A. S., Shamim, S. A., Morshed,AKM. M., Paul,
                                    T. C.* “A Molecular Dynamics Study of Enhancement of Heat Transfer during Phase Change
                                    from a Nano Engineered Solid Surface” Processes 2021, 9, 715. https://doi.org/10.3390/pr90407155. Mahmud, R., Morshed, AKM. M. Paul, T.C.* “Enhanced Specific Heat Capacity of Liquid
                                    Entrapped between Two Solid Walls Separated by a Nanogap” Processes 2020, 8, 459;
                                    doi:10.3390/pr8040459. 6. Tikadar, A., Paul, T.C., Oudah, S. K., Salman, A. S., Khan, J. A. “Enhancing thermal-hydraulic
                                    performance of counter flow mini-channel heat sinks using transverse inter-connectors:
                                    numerical study with experimental validation” International Communications in Heat
                                    and Mass Transfer 111 (2020) 104447. 7. McCants, D. A., Hayes, A., Paul, T. C., M., Shaaban, A., Khan, J. A. “Experimental
                                    and numerical evaluation of heat transfer enhancement potential of Copper-II and Zinc
                                    oxide nanofluids flowing over a heated plate” ASME Journal of Thermal Science and
                                    Engineering Applications 11(4), 041015 (Jul 15, 2019). 8. Tikadar, A., Oudah, S. K., Paul, T.C., Salman, A. S., Morshed, AKM. M., Khan, J.
                                    A. “Parametric study on thermal and hydraulic characteristics of inter-connected parallel
                                    and counter flow mini-channel heat sink” Applied Thermal Engineering 153 (2019) 15-28.9. Mahmud, R., Morshed, AKM. M. Paul, T.C., Rahman, S.  “Atomistic simulation of size-dependent
                                    heat capacity of liquid in molecular scale confinement at different temperatures”
                                    Micro & Nano Letters (2019), DOI:  10.1049/mnl.2018.5288. 10. Paul, T.C.*, Mahmud, R., Khan, J. A. “Multiphase modeling approach for Ionic Liquids
                                    (ILs) based nanofluids: Improving the performance of heat transfer fluids (HTFs)”
                                      Applied Thermal Engineering 149 (2019) 165-172.11. Salman, A. S., Abdulrazzaq, N.M.,  Oudah, S. K.  Tikadar, A., Anumbe, N., Paul,
                                    T.C., Khan, J. A. “Experimental Investigation of the Impact of Geometrical Surface
                                    Modification on Spray Cooling Heat Transfer Performance in the Non-Boiling Regime”
                                    International Journal of Heat and Mass Transfer 133 (2019) 330–340.12. Tikadar, A., Najeeb, U., Paul, T. C., Oudah, S. K., Salman A. S. Abir, A. M.,
                                    Carrilho, L. A., Khan, J. A. “Numerical Investigation of Heat Transfer and Pressure
                                    Drop in Nuclear Fuel Rod with Three-Dimensional Surface Roughness” International Journal
                                    of Heat and Mass Transfer 126 (2018) 493–507.13. Paul,T.C., Morshed, AKM. M., Fox, E.B., Khan, J.A.  “Enhanced thermophysical properties
                                    of NEILs as heat transfer fluids for solar thermal applications” Applied Thermal Engineering
                                    110 (2017) 1–9. 14. Paul,T.C., Morshed, AKM. M., Fox, E.B., Khan, J.A.  “Thermal Performance of Al2O3
                                    Nanoparticle Enhanced Ionic Liquids (NEILs) for Concentrated Solar Power (CSP) Applications”
                                    International Journal of Heat and Mass Transfer 85 (2015) 585–594. 15. Paul,T.C., Morshed, AKM. M., Fox, E.B., Khan, J.A.  “Experimental Investigation
                                    of Natural Convection Heat Transfer of Al2O3 Nanoparticle Enhanced Ionic Liquids (NEILs)”
                                    International Journal of Heat and Mass Transfer 83 (2015) 753–761. 16. Paul,T.C.,Morshed,AKM. M., Khan,J. A. “Effect of Nanoparticle Dispersion on Thermophysical
                                    Properties of Ionic Liquids for its Potential Application in Solar Collector” Procedia
                                    Engineering 90 ( 2014 ) 643–648. 17. Paul,T.C., Morshed, AKM. M., Fox, E.B., Visser, A.E., Bridges, N. J., Khan, J.A.
                                     “Thermal Performance of Ionic Liquid for Solar Thermal Applications” Experimental
                                    Thermal and Fluid Science 59(2014)88-95. 18. Paul,T.C., Morshed, AKM. M., Fox, E.B., Visser, A.E., Bridges, N. J., Khan, J.A.
                                     “Buoyancy Driven Heat Transfer Behavior of [C4mim][NTf2]  Ionic Liquid: An Experimental
                                    Study” Applied Thermal Engineering 66 (2014) 534-540. 19. Paul,T.C., Morshed, AKM. M., Khan, J. A.  “Nanoparticle Enhanced Ionic Liquids
                                    (NEILs) as Working Fluid for the Next Generation Solar Collector” Procedia Engineering
                                    56 (2013) 631–636.20. Morshed, AKM. M., Paul, T. C., Khan, J. A. “Effect of Al2O3 Nanoparticle Deposition
                                    on Flow Boiling Performance of Water in a Microchannel” Experimental Thermal and Fluid
                                    Science 47(2013) 6–13. 21. Morshed, AKM. M., Paul, T. C., Khan, J. A.""Atomistic Simulation of Temperature
                                    Dependent Thermal Transport across Nanoconfined Liquid"",Physica E: Low-dimensional
                                    Systems and Nanostructures 47 (2013) 246–251. 22. Morshed, AKM. M., Paul, T. C., Khan, J. A. “Effect of Cu-Al2O3 Nanocomposite Coating
                                    on Flow Boiling Performance of a Microchannel” Applied Thermal Engineering 51 (2013)
                                    1135-1143. 23. Morshed, AKM. M., Paul, T. C., Khan, J. A.  “Effect of Nanostructures on Evaporation
                                    and Explosive Boiling of Thin Liquid Films: A Molecular Dynamics Study” Applied Physics
                                    A: Materials Science and Processing 105 (2011) 2; 445-451. 24. Sree, D., Paul, T., Aglan, H. “Temperature and Power Consumption Measurements
                                    as a Means for Evaluating Building Thermal Performance”.Applied Energy 87 (2010) 2014–2022. 25. Paul, T., Sree, D., Aglan, H.  “Effect of Mechanically- Induced Ventilation on
                                    the Indoor Air Quality of Building Envelopes” Energy and Buildings 42 (2010) 326–332."
"Penaherrera, Brie","['research', 'computer', 'engineering']"
"Peng, Zhenmeng","Our research is driven by the attempts to understand reactions at the molecular level,
                                    and to discover advanced catalyst materials based on multidisciplinary knowledge in
                                    Heterogeneous Catalysis, Materials Science, Electrochemistry, and Physical Chemistry.
                                    The research efforts cover rational search of new catalytic structures of interest,
                                    development of synthesis strategies to realize the desired structures, evaluation
                                    of the catalytic properties, and in-depth study of the reaction mechanisms. Our current
                                    research interests include electrochemical hydrogen generation/storage/utilization,
                                    new approaches for electrical energy storage, C1 chemicals conversion, electrochemical
                                    engineering for desalination and separation applications."
"Perea, Dennis",Electrical Engineering
"Peters, Wally ",['Dr . Peters research and interests include Complex Systems Study and Design .']
"Pierce, Charles",Civil and Environmental Engineering
"Pierce, Lisa","['research', 'computer', 'engineering']"
"Plante, Portia",['Portia Plante teaches various undergraduate courses .']
"Popov, Branko N.","Dr. Popov is a Carolina Distinguished Professor and Director of the Center for Electrochemical
                                 Engineering at USC. He stablished USC’s internationally recognized research program
                                 in electrochemical and corrosion engineering and was listed by Thomson Reuters as
                                 one of the most highly cited researchers in the world for 2002, 2014 and 2015. He
                                 is the 2003 recipient of American Electroplaters and Surface Finishing Society (AESF)
                                 Scientific Achievement Award for outstanding scientific contributions over a span
                                 of a decade, 2005 Fuel Cell South Crystal Flame Innovation Award, 2007 Research Achievement
                                 Award from University of South Carolina, 2014 Breakthrough Leadership Award from University
                                 of South Carolina and Prestigious USC Russell Award for Research in Science, Mathematics
                                 and Engineering in 2015.|His work has profound impact on energy-storage materials used in advanced batteries,
                                 developing catalyst for fuel cells, all of each is accelerating the commercialization
                                 of electric vehicles. Dr. Popov’s work in materials also extends to electroplating,
                                 sensors, electrolyzers, corrosion protection, developing highly corrosion stable alloys
                                 for metallurgy, materials for cathodes and anodes for primary and secondary batteries,
                                 capacitors and development of performance models.|Dr. Popov published 235 refereed technical papers, author/coauthor of 20 book chapters,
                                 62 papers published in receding volumes and four textbooks.  His papers according
                                 to Scholar Commons were downloaded more than 39,000 times.|His research group garnered more than 15 million in research funding  from the financial
                                 support of the Office of Naval Research, United States Army Corps of Engineers, National
                                 Reconnaissance Office, (NRO), Sandia National Laboratory, South  Carolina Department
                                 of Transportation (SCDOT), American Electroplaters and Surface Finishing  Society,
                                 (AESF), United States Department of Energy (DOE), National Air and Space Administration
                                 (NASA), National Science Foundation (NSF), Defense University Research Instrumentation
                                 Program (DURIP), ACT Corporation, St. Jude Medical, Tokuyama Corporation,(Japan)  and 
                                 private industries, including United Technologies, ELISA Co, General Electric, Boing,
                                 Farasis,  Faraday Technologies etc.|His students landed positions at U.S National Laboratories, earned tenure at universities
                                 worldwide and work at top-tier companies such as Apple, IBM, Intel, GM and Tesla Motors.
                                 He considers teaching future chemical and corrosion engineers to be just as important
                                 as research. He published by Elsevier in 2015 a new textbook entitled “Corrosion Engineering”
                                 which is been worldwide recognized for teaching theoretical electrochemistry, and
                                 fundamental principles of corrosion, passivity, material selection and design, mathematical
                                 modeling of corrosion processes at interfaces and engineering of corrosion protection
                                 strategies."
"Potts, Jay","The prevalence of congenital cardiac malformations places an extreme sociological
                                 and personal burden. There are a myriad of congenital cardiac defects but the majority
                                 involve a region known as the atrioventricular canal (AV). The AV canal is responsible
                                 for the production of the AV valves and membranous portion of the interventricular
                                 septum. This is accomplished through a process known as ""epithelial-mesenchymal cell
                                 transformation"". Understanding how the early heart and in particular the AV canal
                                 is formed is critical to building the foundation for future therapeutic measures. | Cardiac Development|Regenerative Medicine"
"Prater, Shane T.","['research', 'computer', 'engineering']"
"Priviero, Fernanda",Cardiovascular Translational Research Center Cell Biology and Anatomy
"Putlock, Sarah","['research', 'computer', 'engineering']"
"Qian, Yu","Dr. Yu Qian has been working on transportation geotechnics and railroad infrastructure
                                 related research, mainly focusing on heavy haul and transit track structures, high
                                 speed rails, pavements, geosynthetics, and discrete element simulation.  He is currently
                                 serving as a committee member for three TRB Committees, two AREMA Committees, and
                                 the ASCE Rail Transportation Committee. | Computer Vision|Machine Learning"
"Raghu, Sowmya","Sowmya's research interest lies in heat transfer studies in micro-channel, porous
                                 media, additive manufacturing, and developing artificial intelligence based models
                                 for predicting gas turbine performance."
"Ravi, Lalitha",Mechanical Engineering
"Regalbuto, John R.","One of the major research avenues of our group is the study of the preparation of
                                 solid catalysts. A typical example is the platinum or rhodium containing automobile
                                 catalytic converter used to eliminate carbon monoxide, nitric oxide, and hydrocarbons
                                 from auto exhaust. Solid catalysts are usually composed of a metal or metal oxide
                                 deposited onto or supported on a high surface area, refractory oxide, which produces
                                 small, well anchored metal particles with a maximum amount of exposed metal surface.|Our current efforts involve the use and comparison of different methods for synthesis
                                 of a variety of catalysts especially using Strong Electrostatic Adsorption ( SEA )
                                 in producing catalysts with high dispersion. The studies are also done to rigorously
                                 and systematically verify an underlying theory we have revived from the colloid science
                                 literature to predict how much metal will be adsorbed by the oxide for a full range
                                 of liquid conditions. We also investigate coupled methods for catalyst synthesis especially
                                 in the cases of bimetallic and bifunctional catalysts.|In a second vein of work, we look at a further step of catalyst preparation. After
                                 impregnation and drying, the catalyst is put through a series of heat and chemical
                                 treatments to activate the metal. We study how the shape and chemical structure of
                                 the deposited metal particles change as a function of pretreatment conditions. In
                                 some cases the size and shape of particles can be controlled. For these studies we
                                 use various types of characterization techniques such as electron microscopy and x-ray
                                 diffraction. | heterogeneous catalyst synthesis"
"Regan, Elizabeth A.",Health information technology and exchangeStrategic information systemsLarge-scale organizational change Technology innovation and business process redesign (reengineering)E-commerce and e-businessEnd-user information systemsKnowledge management
"Reifsnider, Kenneth ",heterogeneous materials|composites|simulation
"Rekleitis, Ioannis","Mobile Robotics, Space Robotics, Multi-Robot Systems, Sensor Networks, Artificial
                                    Intelligence, Computer Vision and Image Processing, Computational Geometry, Computer
                                    Graphics. | Marine Robotics|Perception|Coverage|Cooperative Localization|SLAM"
"Reynolds, Tony ","['Dr . Reynolds research and interests include friction stir welding , fatigue and fracture , experimental micro mechanics , quantitative fractographic analysis .']"
"Ritter, James A.","James A. Ritter, Ph.D., is the L. M. Weisiger Professor of Engineering and a Carolina
                                    Distinguished Professor in the Department of Chemical Engineering at the University
                                    of South Carolina. Professor Ritter has authored or coauthored over 142 peer-reviewed
                                    journal articles and holds two U. S. Patents in the areas of cyclic adsorption processes
                                    for gas separation and purification, hydrogen storage processes and materials, and
                                    magnetic field-enhanced processes for separations and targeted drug delivery.|He has served or is serving as a consultant for more than 20 companies, government
                                    agencies and national laboratories including ExxonMobil, Eastman Chemical, DOE, and
                                    the Pacific Northwest National Laboratory. He is also serving or has served on the
                                    Editorial Boards of four journals: Separation Science and Technology; Adsorption, Journal of the International Adsorption
                                    Society; Recent Patents in Chemical Engineering; and Industrial and Engineering Chemistry Research.|He currently has funding for his research from the DOE, NASA, NSBRI, and several university
                                    centers and private companies. Professor Ritter is using this funding to support one
                                    Research Associate Professor (Dr. Armin D. Ebner), one Postdoctoral Associate (Dr.
                                    Marjorie A. Nicholson), and seven Ph.D. students (Fan Wu, Iftekhar Hossain, Anahita
                                    Abdollhi, Lutfi Erden, Atikur Rahman, Nima Mohammadi, and Hanifi Erden). Shubhra Bhadra
                                    left Professor Ritter’s group after successfully defending his Ph.D. in February 2012
                                    and joined the Adsorption Team at Air Products and Chemicals in April.|Professor Ritter has also been actively involved with the Separations Division of
                                    the American Institute of Chemical Engineers since 1991, serving most recently as
                                    a Director in the Division. He has also been involved with the Industrial and Engineering
                                    Chemistry (I&EC) Division of the American Chemical Society (ACS) since 1994, and in
                                    2013 he began serving as the new I&EC Division Chair-elect. Professor Ritter was named
                                    a Fellow of the ACS in July 2012. At UofSC, Professor Ritter became the recipient
                                    of the 2012 UofSC Educational Foundation Research Award for Science, Mathematics,
                                    and Engineering, being only the third engineer to receive this award since its inception
                                    in 1984. He has also served as the Graduate Director in the Department of Chemical
                                    Engineering; and on the UofSC Committee on Named and Distinguished Professorships
                                    since 2009. | separations|adsorption|magnetic drug targeting|materials|electrochemistry"
"Rizos, Dimitris","His areas of interest are in Structural Mechanics with emphasis on Railway and Highway
                                 Infrastructure, High Speed Rail Systems, and Civilian and Military Bridges. Dr. Rizos
                                 expertise is in the area of structural mechanics and modeling with emphasis on: (i)
                                 Development and implementation of computational methods (BEM, FEM, DEM, Hybrid Methods)
                                 for problems in wave propagation, soil-structure interaction, structural dynamics,
                                 and transient analysis of multi-phase media, such as the train-rail-trackbed-soil
                                 interaction problems; (ii) Analysis and Design of freight, passenger and High Speed
                                 Railway infrastructure (bridges, tunnels, tracks, etc); (iii) Bridge Engineering and
                                 High Performance Materials for civilian and military applications. | Structural Mechanics|Railway Engineering|Transportation Infrastructure Engineering|Remote Sensing"
"Roberts, Elwyn","['Dr . Robert s research and interests include materials performance in nuclear reactors , product design , manufacturing and concurrent engineering .']"
"Rocheleau, David ","['Dr . Rocheleau s group has interest in machine design and machine component design . His group has done work in optimizing the design of epicyclic gear trains to ensure long life and reduced noise . Work has also been done in helping small to medium size companies in a wide area of product design issues . The design concepts are modeled using Pro ENGINEER design software and analyses are performed with a variety of computer aided engineering tools . His group has done work in the modeling of balance of plants in a PEM fuel cell system . Overall design issues involving kinematic and dynamics of mechanisms , from robots to prosthetic devices , have also been performed . Dr . Rocheleau holds several patents , primarily in new product innovation devices .']"
"Rodriguez, Alejandro David",Mechanical Engineering
"Rose, John R. ","I am currently a member of IEEE. I am the author of over 50 technical papers in bioinformatics,
                                    machine intelligence, and computational science. My research interests are in the
                                    areas of bioinformatics, normative reasoning and planning, DAI and multiagent systems,
                                    and computational chemistry. I have conducted research funded by NSF, NIH, NASA, DOD/ONR,
                                    Alexander von Humboldt Foundation, BMFT (German NSF equivalent), as well as the South
                                    Carolina Commission on Higher Education. I have been a NASA Institute for Advanced
                                    Concepts (NIAC) Fellow. I was formerly the Director of the SC INBRE Bioinformatics
                                    Core. A major new focus of my research group is de novo peptide sequencing. We have
                                    recently received NSF funding to support this effort."
"Rowen, Marcia",Chemical Engineering
"Russell, Carol","['research', 'computer', 'engineering']"
"Sabalowsky, Andrew","Dr. Sabalowsky’s prior research expertise are in anaerobic processes, specifically
                                 as they relate to bioremediation of hazardous xenobiotic molecules and biofuel production,
                                 such has methane and hydrogen production, microbial fuel cells, and fermentable products.
                                 More recently, his interests are in renewable energy technology centered on fluid
                                 flow, such as wave attenuation, micro wind turbines, and solar chimneys."
"Sadati, Monirosadat (Sanaz)","The Sadati lab will pursue a bottom-up approach to study the structure, dynamics,
                                 and self-assembly of soft materials, with an emphasis on anisotropic components capable
                                 of leading to new, tunable macroscopic properties. Through systematic studies of self-assembly,
                                 topological defects, and real-time structure and rheology, we will engineer responsive
                                 materials with unique architectural features designed for a broad range of applications
                                 including tissue engineering, actuation, drug delivery, controlled cargo transport,
                                 and biosensing."
"Sahin, Alphan ",Wireless communications|Signal processing
"Santi, Enrico","Control of multi-converter systems: model the emergent behavior due to interactions
                                    among closed-loop-controlled interconnected converters and devise control strategies
                                    to improve stability and performance.|Novel control and system identification techniques in power electronics: methods to
                                    perform online stability measurements and control adaptation to improve system stability.|Applications of artificial intelligence and machine learning in power electronics:
                                    application of digital twin and deep learning techniques to power electronics systems.|Two-phase cooling for power electronics systems: two-phase cooling has the potential
                                    to significantly reduce converter system size and weight and improve reliability.|Physics-based modeling of power semiconductor devices: develop, implement and validate
                                    physics-based models for various bipolar and unipolar power semiconductor devices
                                    both in silicon and wide bandgap materials such as silicon carbide and gallium nitride.|Modeling and simulation: multi-physics modeling and simulation of power electronics
                                    systems."
"Sasanakul, Inthuorn",Geotechnical Engineering
"Satti, Sri",Computer Science and Engineering
"Seay, Brandon","Composite Fabrication, Mechanical Engineering, Aerospace Engineering"
"Sepahvandi, Azadeh","Tissue engineering, Luminescence biomaterials, Soft tissue mechanical characteristics, Electromagnetic waves and signaling in scaffolding and tissue regeneration, Thermodynamics of proteins interactions."
"Shazly, Tarek ",biomedical engineering
"Shepherd, Jeremiah",['JJ Shepherd teaches CSCE 145 and 146 courses .']
"Sheth, Amit","Professor Sheth's current interests include Artificial Intelligence (esp. knowledge
                                 graphs, NLP, deep learning, knowledge-enhanced learning, conversational AI- esp chatbots
                                 for health and education), Semantic Web, Physical/IoT-Cyber-Social-Clinical Big Data,
                                 Augmented Personalized Health, AI and Big Data applications (in health and life sciences,
                                 social good, disaster management, etc.). | Artificial Intelligence|Neurosymbolic AI|Knowledge Graphs|Knowledge-infused Learning|Cognitive & Neuro Sc inspired AI"
"Shimpalee, Sirivatch","Dr. Shimpalee's current research is in the area of renewable energy including fuel
                                 cells, energy storage, high temperature thermal system, and bioenergy. His expertise
                                 is to use multi-scale and multi-dimensional modeling combine with electrochemistry
                                 to understand the physics inside their complex systems particularly in the transport
                                 phenomena."
"Simin, Grigory","1998-Present: Wide bandgap materials and devices, III-Nitride power microwave devices
                                    and ICs|1971–1998: Gunn effect devices, GaAs FETs, microwave and optical integrated circuits,
                                    semiconductor lasers | Semiconductor Devices and Circuits"
"Smoak, Wilson","['Wilson Smoak is the instructor and coordinator for our Capstone Design Courses , ELCT 403 404 in Electrical Engineering Department , following a successful career in design of digital electronics , most recently for Intel .']"
"Snelson, Kate","['research', 'computer', 'engineering']"
"Sockalingam, Subramani ",Composites|Manufacturing|Processing-Structure-Property|Finite Element Analysis
"Spinale, Frank G.","Francis G. Spinale, MD, PhD, an internationally renowned cardiovascular scientist,
                                 has directed a translational research effort in the thematic area of cardiovascular
                                 remodeling with a particular focus upon heart failure, the main cause of death and
                                 disability in South Carolina, for over the past two decades. The mechanistic, translational,
                                 and clinical studies he has been working on will advance our understanding and potential
                                 treatment for major causes of heart failure in patients. He is also an entrepreneur
                                 with patents and a NIH Small Business Technology Transfer grant to develop a microdialysis/microfluidics
                                 delivery system for cardiac surgery. Additionally, Dr. Spinale serves on the ditorial
                                 board of seven prestigious scientific journals and is a consultant to various pharmaceutical
                                 companies and biotechnology companies. To his credit, he also has over 400 peer-reviewed
                                 publications in leading cardiovascular journals and is a fellow of several professional
                                 societies, including the American Heart Association and the American College of Cardiology.
                                 He has been invited to present his research both nationally and internationally at
                                 major scientific meetings, universities, and congresses/conferences. Dr. Spinale is
                                 the director of the Cardiovascular Translational Research Center, and he has pioneered
                                 various projects for cardiac research while working to collaborate with other departments
                                 and faculty between the SOM and VA."
"Srivastava, Biplav","Neuro-Symbolic Computing - AI techniques at the intersection of learning and (goal-based)
                                    reasoning|Collaborative Assistance - Computing methods for assisting people|Trusted AI - Automated rating, adversarial learning|Applications to Smart City using Open and Sensor Data - Water, health, traffic | Artificial Intelligence (Automated Planning|Trust|Learning)|Smarter Cities (Water)|Services"
"Stanford, Thomas G.","Dr. Stanford's research interests are in the fields of Chemical Process Systems and
                                 Advanced Professional Engineering Education. Chemical Process Systems is the mathematical
                                 modeling of chemical process systems, chemical process control, conceptual design
                                 of chemical processes, chemical process systems simulation, chemical reactor engineering.
                                 Advanced Professional Engineering Education involves conceptual models for graduate
                                 professional engineering education, advanced education for practicing professional
                                 engineers."
"Stork, Carol","Analytical Chemist, Chemical Engineering"
"Sudarshan, Tangali S.","['SwearingenRoom 3A17301 Main StreetColumbia , SC 29208Dr . Sudarshan s specializations and research interests include']"
"Sur, Sanjib ","Professor Sur's research interests are in the areas of Wireless Systems and Architectures,
                                 Millimeter-Wave Communications and Networks, Internet of Things Connectivity and Sensing
                                 Systems. | Wireless networking|Mobile computing|Millimeter-wave|Terahertz"
"Sutton, Michael",Digital Image Correlation|Stereo Vision|Computer Vision|Fracture Mechanics|Biomechanics
"Swanner, Jennifer","['research', 'computer', 'engineering']"
"Taheri Qazvini, Nader ","Bio-nano hybrid and biomimetic materials|Charge-driven self-assembly|Structure-dynamics relations in polymer networks, hydrogels, soft glassy materials
                                    and living cells|Microfabrication and 3D Bioprinting|Tissue engineering and collective cell migration"
"Tan, Wenbin",vascular biology
"Tang, Chuanbing",Polymer|Biomaterials
"Tatting, Brian",Mechanical Engineering
"Thatcher, Matt E. ","My research examines the strategic and economic impacts of information technology
                                    (IT) with a focus on four themes: IT value, software patent policy design, IT offshoring,
                                    and the social costs of information privacy."
"Thompson, Chris","['research', 'computer', 'engineering']"
"Tong, Yan","Professor Tong's research interests focus on computer vision and pattern recognition
                                 especially on human computer interaction including but not limited to:|Affective computing (facial activity analysis and eye gaze tracking)|Statistical shape modeling and their applications in face image interpretation and
                                    medical image analysis|Probabilistic graphical models and their applications in computer vision including
                                    modeling, reasoning, information fusion, and learning under uncertainty."
"Tooren, Michel  van","['Dr . van Tooren s research interest include Design Automation , Knowledge Based Engineering , Alternative aircraft concepts , Composite aircraft fuselages , Aircraft Certification , Systems Engineering and Road vehicle aerodynamics .']"
"Tulenko, James",Mechanical Engineering
"Turner, Carrie","['research', 'computer', 'engineering']"
"Turner, Jack",Western Rite Orthodoxy|Liturgical Theology|Christian History
"Turner, Jammie","['research', 'computer', 'engineering']"
"Uline, Mark J.","The Uline research group is working toward the fundamental understanding of how the
                                 complex interactions at interfaces couple together to give the rich phenomena observed
                                 in various chemical and biological systems. Currently, we are focused on molecular
                                 modeling of biological interfaces, in particular, phase transitions and binding in
                                 lipid bilayers and surfactant driven nematic ordering transitions in liquid-crystal
                                 thin films. Other ongoing research interests include bubble and droplet nucleation
                                 theory, molecular dynamics simulations in the isothermal-isobaric ensemble, and the
                                 effects of multivalent ions on the charge regulation in tethered polyelectrolytes. | Statistical Mechanics|Biophysics|Soft Matter|Physiology|Thermodynamics"
"Ulrich, Barb",Computer Science and Engineering
